2025-12-02 09:03:55 | 127.0.0.1:48132 | code=658578 | ACCESS_GRANTED
2025-12-02 09:04:03 | 127.0.0.1:48132 | code=658578 | ACCESS_GRANTED
2025-12-02 09:04:39 | 127.0.0.1:48129 | code=666666 | SET_BY_OWNER
2025-12-02 09:04:48 | 127.0.0.1:48132 | code=666666 | ACCESS_GRANTED
2025-12-02 09:05:47 | 127.0.0.1:48132 | code=676191 | ACCESS_DENIED
2025-12-02 09:05:49 | 127.0.0.1:48132 | code=122222 | ACCESS_DENIED
2025-12-02 09:05:51 | 127.0.0.1:48132 | code=111111 | ACCESS_DENIED
2025-12-02 09:05:51 | 127.0.0.1:48132 | code=111111 | ALARM_ROTATE
2025-12-02 09:05:55 | 127.0.0.1:48132 | code=666666 | ACCESS_DENIED
2025-12-02 09:06:26 | 127.0.0.1:48132 | code=992626 | ACCESS_GRANTED
2025-12-18 08:47:21 | 127.0.0.1:4465 | code=731542 | ACCESS_GRANTED
2025-12-18 08:47:27 | 127.0.0.1:4465 | code=731542 | ACCESS_GRANTED
